New Stock Screen
2026-06-06

Ticker,Name,Last,Rank,MktCap,ccFIGI,PeriodDateQ,SectorCode,IndCode,Pr4W%Chg,SalesGr%TTM,EPSExclXorGr%TTM,PEExclXorTTM,ProjPECurFY,PEGLT,Yield,
DE,Deere & Co.,583.44,97.65,157788.69,BBG000BH1NH9,2026-04-30,INDUSTRIAL,MACHINE,0.50,3.98,-14.63,33.06,32.28,1.98,1.11,
BUD,Anheuser-Busch InBev NV,78.50,97.63,154319.29,BBG000RYC984,2025-12-31,NONCYCLICAL,FOODDRINKMFR,-2.18,-0.33,18.34,22.57,17.88,1.38,1.72,
ETN,Eaton Corp. Plc,395.94,97.60,153585.12,BBG000BJ3PD2,2026-03-31,INDUSTRIAL,ELECTREQUIP,-0.80,12.68,3.25,38.71,29.69,2.35,1.11,
GLW,"Corning, Inc.",177.58,97.58,152543.86,BBG000BKFZM4,2026-03-31,MATERIALS,MINERAL,-2.64,20.05,298.62,85.23,55.72,2.88,0.63,
CRM,"Salesforce, Inc.",185.66,97.55,151879.87,BBG000BN2DC2,2026-04-30,TECH,SOFTW,-0.36,10.98,35.12,21.49,13.20,1.08,0.95,
ISRG,"Intuitive Surgical, Inc.",422.06,97.53,151298.59,BBG000BJPDZ1,2026-03-31,HEALTHCARE,MEDDEVICESGEN,-6.93,21.43,20.92,51.20,40.63,3.57,0.00,
SMFG,"Sumitomo Mitsui Financial Group, Inc.",23.16,97.50,148400.99,BBG000PMKCQ6,2025-12-31,FINANCIAL,BANKSINTL,7.82,1.43,14.16,15.40,12.95,0.64,2.38,
PFE,Pfizer Inc.,26.04,97.48,148055.83,BBG000BR2B91,2026-03-31,HEALTHCARE,BIOPHARMAOTHER,-1.66,1.36,-5.38,19.96,8.79,N/A,6.61,
UBER,"Uber Technologies, Inc.",70.71,97.45,146923.38,BBG002B04MT8,2026-03-31,INDUSTRIAL,PASSENGERTRANS,-7.85,18.31,-30.03,17.62,21.32,3.94,0.00,
COP,Conocophillips,117.14,97.43,144752.04,BBG000BQQH30,2026-03-31,ENERGY,FOSSILFUEL,1.97,1.02,-25.35,19.92,11.51,0.86,2.87,
SCCO,Southern Copper Corp.,172.97,97.40,144312.81,BBG000BSHH72,2026-03-31,MATERIALS,ORE,-2.70,21.70,36.79,29.30,24.07,10.52,2.29,
SHOP,"Shopify, Inc.",109.54,97.38,142558.78,BBG008HBD923,2026-03-31,FINANCIAL,FINSPECIAL,-1.97,31.85,-17.96,107.69,59.26,2.93,0.00,
UBS,UBS Group AG,47.01,97.35,142528.14,BBG007DJM539,2026-03-31,FINANCIAL,INVESTSVCE,5.85,-4.97,84.91,16.14,13.80,0.60,2.34,
WELL,"Welltower, Inc.",206.93,97.33,142021.86,BBG000BKY1G5,2026-03-31,FINANCIAL,REIT,-2.83,37.51,-164.83,N/A,71.44,3.94,1.43,
BX,"Blackstone, Inc.",115.35,97.30,141738.54,BBG000BH0106,2026-03-31,FINANCIAL,INVESTSVCE,-5.71,17.79,17.91,29.59,19.36,1.06,4.02,
PLD,"Prologis, Inc.",144.54,97.28,137416.78,BBG000B9Z0J8,2026-03-31,FINANCIAL,REIT,1.58,6.72,0.21,36.41,42.98,6.70,2.96,
BTI,British American Tobacco PLC,59.72,97.25,137113.89,BBG000BWPXQ8,2025-12-31,NONCYCLICAL,TOBACCO,2.82,2.16,171.90,12.94,12.34,N/A,5.43,
HON,"Honeywell International, Inc.",213.97,97.23,135846.82,BBG000H556T9,2026-03-31,INDUSTRIAL,MACHINE,-0.97,1.15,-18.97,30.33,20.35,2.23,2.22,
DHR,Danaher Corp.,184.30,97.20,130180.22,BBG000BH3JF8,2026-03-31,HEALTHCARE,HCAREMISC,4.92,4.02,0.31,35.62,21.84,3.16,0.87,
SPGI,"S&P Global, Inc.",424.44,97.18,129581.53,BBG000BP1Q11,2026-03-31,TECH,INTERNET,-0.99,8.54,24.10,26.85,21.63,1.75,0.91,
BKNG,"Booking Holdings, Inc.",165.84,97.15,129052.22,BBG000BLBVN4,2026-03-31,CONSUMERSVCE,HOSPITALITY,-3.18,14.95,18.31,21.80,15.86,1.57,1.01,
CB,Chubb Ltd.,326.27,97.13,128403.82,BBG000BR14K5,2026-03-31,FINANCIAL,INSURANCE,1.55,8.26,36.29,11.52,12.04,1.63,1.19,
